recipe	type	gate	class	auto_hint	source	inputs	outputs
compute_dwpc_go_metapaths	python	MIN_MODULE 20	2	c2?	dss_recipes/compute_dwpc_go_metapaths.py	graph_edges,graph_nodes	enriched_dwpc_GBGD,enriched_dwpc_GFGD
compute_enriched_disease_context_1	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_disease_context_1.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_disease_context_1
compute_enriched_dwpc_GCD	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_dwpc_GCD.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_dwpc_GCD
compute_enriched_dwpc_GGD	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_dwpc_GGD.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_dwpc_GGD
compute_enriched_dwpc_GPGD	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_dwpc_GPGD.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_dwpc_GPGD
compute_enriched_guilt_by_association_1	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_guilt_by_association_1.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_guilt_by_association_1
compute_enriched_module_size_1	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_module_size_1.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_module_size_1
compute_enriched_prox_closest	python	MIN_SEEDS 5; POOL_MIN 20	1		dss_recipes/compute_enriched_prox_closest.py	graph_edges,graph_nodes	enriched_prox_closest
compute_enriched_rwr_score_1	python	MIN_SEEDS 20	1		dss_recipes/compute_enriched_rwr_score_1.py	graph_edges,graph_nodes	enriched_rwr_score_1
compute_enriched_shared_pathway_count_1	CustomCode_visual-graph-execute-cypher	module_size >= 20	1		dss_recipes/cypher/compute_enriched_shared_pathway_count_1.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_shared_pathway_count_1
_models		-	-		DSS-only	-	-
compute_DEMO_KG_drug_disease_edges_copy	sync	-	-		DSS-only	DEMO_KG_LS.drug_disease_edges	drug_disease_edges
compute_DEMO_KG_drug_protein_edges_copy	sync	-	-		DSS-only	DEMO_KG_LS.drug_protein_edges	drug_protein_edges
compute_DEMO_KG_edge_metadata_copy	sync	-	-		DSS-only	DEMO_KG_LS.edge_metadata	edge_metadata
compute_DEMO_KG_gene_names_copy	sync	-	-		DSS-only	DEMO_KG_LS.gene_names	gene_names
compute_DEMO_KG_graph_edges_copy	sync	-	-		DSS-only	DEMO_KG_LS.graph_edges	graph_edges
compute_DEMO_KG_graph_nodes_copy	sync	-	-		DSS-only	DEMO_KG_LS.graph_nodes	graph_nodes
compute_DEMO_KG_mondo_references_copy	sync	-	-		DSS-only	DEMO_KG_LS.mondo_references	mondo_references
compute_DEMO_KG_raw_disease_disease_copy	sync	-	-		DSS-only	DEMO_KG_LS.raw_disease_disease	raw_disease_disease
compute_DEMO_KG_raw_go_hierarchy_copy	sync	-	-		DSS-only	DEMO_KG_LS.raw_go_hierarchy	raw_go_hierarchy
compute_DEMO_KG_raw_ot_druggability_copy	sync	-	-		DSS-only	DEMO_KG_LS.raw_ot_druggability	raw_ot_druggability
compute_DEMO_KG_raw_ot_safety_copy	sync	-	-		DSS-only	DEMO_KG_LS.raw_ot_safety	raw_ot_safety
compute_breast_panel	python	-	-		dss_recipes/compute_breast_panel.py	drug_disease_edges,drug_protein_edges,graph_nodes,scored_champion	breast_panel_metrics
compute_demo_panel_config	python	-	-		dss_recipes/compute_demo_panel_config.py	family_panel,persona_enrichment	demo_panel_config
compute_disease_eligibility	python	-	-		dss_recipes/compute_disease_eligibility.py	enriched_module_size_1,graph_node_type_counts	disease_eligibility
compute_disease_family_id	python	-	-		dss_recipes/compute_disease_family_id.py	enriched_graph_features_1,graph_nodes,hetionet_disease_slim,mondo_references,raw_disease_disease	disease_family_id
compute_drug_classified	shaker	-	-		DSS-only	drug_joined	drug_classified
compute_drug_evidence_pairs	python	-	-		dss_recipes/compute_drug_evidence_pairs.py	drug_disease_edges,drug_protein_edges,graph_nodes	drug_evidence_pairs
compute_drug_joined	join	-	-		DSS-only	enriched_gene_localization,ot_drug_mapped	drug_joined
compute_drug_target_benchmark	python	-	-		dss_recipes/compute_drug_target_benchmark.py	drug_disease_edges,drug_protein_edges,graph_nodes,scored_champion	drug_target_benchmark
compute_enriched_degree_controls_1	CustomCode_visual-graph-execute-cypher	-	-		dss_recipes/cypher/compute_enriched_degree_controls_1.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_degree_controls_1
compute_enriched_gene_druggability_v2	topn	-	-		DSS-only	drug_classified	enriched_gene_druggability_v2
compute_enriched_gene_safety_v2	topn	-	-		DSS-only	gene_safety_joined	enriched_gene_safety_v2
compute_enriched_graph_features_1	join	-	-		DSS-only	enriched_degree_controls_1,enriched_disease_context_1,enriched_dwpc_GBGD,enriched_dwpc_GCD,enriched_dwpc_GFGD,enriched_dwpc_GGD,enriched_dwpc_GPGD,enriched_guilt_by_association_1,enriched_has_inflammatory_go_annotation_1,enriched_module_size_1,enriched_node_centrality_1,enriched_pair_features_index_1,enriched_ppi_cn_zscore,enriched_ppi_evidence_depth,enriched_prox_closest,enriched_rwr_score_1,enriched_shared_pathway_count_1,graph_edges	enriched_graph_features_1
compute_enriched_inflammatory_go	CustomCode_visual-graph-execute-cypher	-	-		dss_recipes/cypher/compute_enriched_inflammatory_go.cypher	DEMO_KG_LS.Lg8lbpl5	enriched_has_inflammatory_go_annotation_1
compute_enriched_node_centrality_1	CustomCode_visual-graph-graph-features	-	-		DSS-only	DEMO_KG_LS.Lg8lbpl5	enriched_node_centrality_1
compute_enriched_pair_features_index_1	vstack	-	-		DSS-only	enriched_disease_context_1,enriched_dwpc_GBGD,enriched_dwpc_GCD,enriched_dwpc_GFGD,enriched_dwpc_GGD,enriched_dwpc_GPGD,enriched_guilt_by_association_1,enriched_ppi_cn_zscore,enriched_prox_closest,enriched_rwr_score_1,enriched_shared_pathway_count_1	enriched_pair_features_index_1
compute_family_auc	shaker	-	-		DSS-only	family_auc_grouped	family_auc_by_family
compute_family_panel	join	-	-		DSS-only	disease_family_id,validation_auc_ci	family_panel
