feature	produced_by	gate	class	in_champion	note
dwpc_GBGD	compute_dwpc_go_metapaths	MIN_MODULE 20	2	y	THE ONLY CLASS 2. `assoc` (per-gene disease degree) is computed over the ELIGIBLE disease set and feeds the DWPC weight, so widening eligibility changes dwpc_GBGD/dwpc_GFGD for EXISTING pairs. A 20->5 change was applied and REVERTED on 2026-08-20 for this reason. Phase 3 HOLDS this at 20 to keep the pre-change population byte-identical.
dwpc_GFGD	compute_dwpc_go_metapaths	MIN_MODULE 20	2	y	THE ONLY CLASS 2. `assoc` (per-gene disease degree) is computed over the ELIGIBLE disease set and feeds the DWPC weight, so widening eligibility changes dwpc_GBGD/dwpc_GFGD for EXISTING pairs. A 20->5 change was applied and REVERTED on 2026-08-20 for this reason. Phase 3 HOLDS this at 20 to keep the pre-change population byte-identical.
dwpc_GGD	compute_enriched_dwpc_GGD	module_size >= 20	1	y	POOL ROUTE. Degrees come from whole-graph COUNT{} subqueries; module_size is per-disease with LOO. Verified in dss_recipes/cypher/.
dwpc_GPGD	compute_enriched_dwpc_GPGD	module_size >= 20	1	y	POOL ROUTE. Same structure as GGD, pathway-mediated middle node.
gene_n_pathways	compute_enriched_degree_controls_1	-	-	y	
gene_ppi_degree	compute_enriched_degree_controls_1	-	-	y	
ppi_adamic_adar	compute_enriched_guilt_by_association_1	module_size >= 20	1	y	deg_m and ppi_deg_g are whole-graph COUNT{} over protein_protein, halved for the both-directions Kuzu build. Emits ppi_adamic_adar, ppi_jaccard.
ppi_common_neighbors_z	compute_ppi_cn_zscore	-	-	y	
ppi_evidence_depth	compute_ppi_evidence_depth	-	-	y	
ppi_jaccard	compute_enriched_guilt_by_association_1	module_size >= 20	1	y	deg_m and ppi_deg_g are whole-graph COUNT{} over protein_protein, halved for the both-directions Kuzu build. Emits ppi_adamic_adar, ppi_jaccard.
ppi_multi_source_frac	compute_ppi_evidence_depth	-	-	y	
prox_closest	compute_enriched_prox_closest	MIN_SEEDS 5; POOL_MIN 20	1	y	Per-disease BFS. Phase 1 already lowered MIN_SEEDS to 5 and capped with POOL_MIN=20 so the population would not move; Phase 3 lowers POOL_MIN. Emits prox_closest, prox_mean, prox_kernel, prox_n_reach.
prox_kernel	compute_enriched_prox_closest	MIN_SEEDS 5; POOL_MIN 20	1	y	Per-disease BFS. Phase 1 already lowered MIN_SEEDS to 5 and capped with POOL_MIN=20 so the population would not move; Phase 3 lowers POOL_MIN. Emits prox_closest, prox_mean, prox_kernel, prox_n_reach.
shared_pathway_frac	compute_enriched_shared_pathway_count_1	module_size >= 20	1	y	n_pathways_g is a whole-graph COUNT{} over pathway_protein, so the frac denominator does not move with eligibility.
REVIEW_already_known_to_you	compute_breast_shortlist	-	-		
REVIEW_comment	compute_breast_shortlist	-	-		
REVIEW_plausible_1to5	compute_breast_shortlist	-	-		
REVIEW_worth_pursuing	compute_breast_shortlist	-	-		
_rank	rank_per_disease	-	-		
_rank	topn_family_genes	-	-		
all_overlap	compute_breast_panel	-	-		
all_overlap_pct	compute_breast_panel	-	-		
anchor_children_names	compute_disease_hierarchy_annotation	-	-		
anchor_doid	compute_disease_hierarchy_annotation	-	-		
anchor_hetionet_name	compute_disease_hierarchy_annotation	-	-		
anchor_name	compute_disease_family_id	-	-		
antibody_tractable	compute_breast_shortlist	-	-		
antichain_ok_as_anchor	compute_disease_hierarchy_annotation	-	-		
appr_kept	compute_filter_three_axes	-	-		
